Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
94,385024,20.994255,0.5429,0.2978,0.4840,1219.75,0.0
95,389120,19.291856,0.6291,0.2480,0.4497,1015.80,0.0
96,393216,19.522776,0.4489,0.2815,0.4780,1153.21,2.75
97,397312,20.066525,0.8233,0.3061,0.4800,1253.72,2.75
98,401408,20.259159,0.9445,0.4962,0.5707,2032.55,0.0
99,405504,19.709801,0.7877,0.5381,0.5505,2203.95,0.0
100,409600,19.987867,1.2130,0.4650,0.5529,1904.56,2.75
101,413696,20.226006,1.0673,0.4399,0.5441,1801.95,0.0
102,417792,20.479917,0.8631,0.4014,0.5119,1644.16,2.625
103,421888,21.677097,0.9319,0.3944,0.5385,1615.43,2.75
104,425984,21.321473,0.2355,0.4257,0.5708,1743.72,2.625
105,430080,19.957908,0.9426,0.4581,0.5321,1876.52,0.0
106,434176,21.493355,0.8007,0.4662,0.5712,1909.60,2.75
107,438272,19.755867,1.4301,0.4939,0.5639,2023.02,0.0
108,442368,19.698115,0.9437,0.5264,0.5546,2156.27,0.0
109,446464,20.686310,0.7187,0.4784,0.5372,1959.71,2.75
110,450560,19.343729,0.7482,0.4386,0.5541,1796.48,2.75
111,454656,20.484383,0.7074,0.3003,0.5063,1230.18,5.5
112,458752,20.883173,0.9017,0.3990,0.5580,1634.25,0.0
113,462848,21.531234,0.6959,0.4003,0.5455,1639.70,0.0
114,466944,21.611832,0.8664,0.4472,0.5149,1831.80,2.625
115,471040,21.532315,0.5366,0.4316,0.5441,1767.73,2.75
116,475136,20.166727,0.8702,0.4908,0.5705,2010.12,0.0
117,479232,20.637877,0.8721,0.5322,0.5558,2180.05,2.75
118,483328,21.287474,0.9083,0.4846,0.5497,1984.84,2.75
119,487424,21.421495,0.7459,0.4424,0.5431,1812.01,2.75
120,491520,21.689865,1.3744,0.4460,0.5721,1826.81,2.75
121,495616,21.569788,0.9801,0.4524,0.5630,1853.10,0.0
122,499712,22.015645,0.7921,0.4880,0.5296,1998.75,2.75
123,503808,21.440674,0.9632,0.4623,0.5678,1893.77,2.625
124,507904,21.151652,0.8188,0.5476,0.5628,2242.77,0.0
125,512000,20.543050,0.9602,0.4885,0.5715,2001.00,0.0
126,516096,19.639059,0.6191,0.5275,0.5408,2160.60,0.0
127,520192,19.533478,0.8753,0.3337,0.4828,1366.64,8.0
